text,label,label_name
ADULT DATING: Meet desperate housewives in your city tonight! 100% free to join!,1,Spam
RE: We are conducting our annual employee satisfaction survey. Your feedback is valuable and confidential.,0,Ham (Safe)
FWD: You have received a secure document via DocuSign that requires your immediate signature. This document is time-sensitive and contains important legal information. Please click the link to view and sign the document using your credentials.,2,AI Phishing
The new HR policy document has been updated. Please review and acknowledge in the employee portal.,0,Ham (Safe)
Just a reminder about the team lunch tomorrow at 12:30 PM at the usual restaurant.,0,Ham (Safe)
Your Netflix subscription has expired! Click here to renew and get 3 months FREE!,1,Spam
FWD: Please find attached the quarterly report for your review. Let me know if you have any questions or need clarification.,0,Ham (Safe)
RE: Online pharmacy: Generic medications at 80% discount! Worldwide delivery! No prescription!,1,Spam
"RE: Security alert: Your email account storage is 99% full and will be deactivated within 24 hours. To prevent loss of emails, please click the verification link and enter your login credentials to upgrade your storage capacity immediately.",2,AI Phishing
FWD: Work from home and earn $300/hour! No skills required! Join our network today!,1,Spam
"FWD: We have noticed multiple failed login attempts on your account from various locations. To protect your information, your account access has been temporarily restricted. Please verify your identity to restore normal access.",2,AI Phishing
"Miracle cure for diabetes, cancer, and arthritis! 100% natural! FDA not approved but works!",1,Spam
FWD: Discount pharmacy online! 80% off all medications! No prescription needed! Order today!,1,Spam
"FWD: Your Zoom account has been flagged for sending inappropriate content. To appeal this decision and restore your account, please verify your identity and provide your account credentials through our review portal within 24 hours.",2,AI Phishing
FWD: The board has approved the new budget for Q1. Please distribute this to your department heads.,0,Ham (Safe)
"FWD: FREE iPhone 15 Pro! You are our 1,000,000th visitor! Click here to claim your prize now!",1,Spam
FWD: I hope this email finds you well. I am reaching out regarding the collaboration opportunity we discussed.,0,Ham (Safe)
RE: Attention: We have detected malware on your device that is stealing your personal information. Our security scan has identified critical threats. Please call our certified technicians immediately to remove these threats before permanent damage occurs.,2,AI Phishing
"Hi, I wanted to let you know that I'll be out of office from December 20 to January 2. For urgent matters, contact my colleague.",0,Ham (Safe)
"FWD: Hi, I'm sharing the research findings from our recent market study for your review.",0,Ham (Safe)
URGENT: Your computer has been infected with a virus! Call us immediately at 1-800-XXX-XXXX!,1,Spam
